classification,emploi,departement,qualification,Actual Salary,Actual Salary Class,Predicted Salary,Predicted Salary Class
3,71,2,7,550000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.5625,low
3,71,2,7,500000.0,high,401819.5625,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,550000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,660000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,400000.0,low,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.5625,low
3,71,2,7,475000.0,medium,401819.5625,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,400000.0,low,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,384500.0,low,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,425000.0,medium,401819.5625,low
3,71,2,7,475000.0,medium,401819.5625,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,382500.0,low,401819.59375,low
3,71,2,7,405000.0,low,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,660462.0,high,401819.59375,low
3,71,2,7,660462.0,high,401819.59375,low
3,71,2,7,623572.0,high,401819.59375,low
3,71,2,7,660462.0,high,401819.59375,low
3,71,2,7,623572.0,high,401819.59375,low
3,71,2,7,587252.0,high,401819.59375,low
3,71,2,7,587252.0,high,401819.59375,low
3,71,2,7,580000.0,high,401819.59375,low
3,71,2,7,587252.0,high,401819.59375,low
3,71,2,7,580000.0,high,401819.59375,low
3,71,2,7,587252.0,high,401819.59375,low
3,71,2,7,580000.0,high,401819.59375,low
3,71,2,7,612823.0,high,401819.59375,low
3,71,2,7,580000.0,high,401819.59375,low
3,71,2,7,597400.0,high,401819.59375,low
3,71,2,7,550000.0,high,401819.59375,low
3,71,2,7,580000.0,high,401819.5625,low
3,71,2,7,525000.0,high,401819.5625,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,384500.0,low,401819.59375,low
3,71,2,7,472500.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,550000.0,high,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,400000.0,low,401819.59375,low
3,71,2,7,486875.0,high,401819.59375,low
3,71,2,7,525000.0,high,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,550000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,400000.0,low,401819.59375,low
3,71,2,7,362250.0,low,401819.59375,low
3,71,2,7,380000.0,low,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.5625,low
3,71,2,7,402500.0,low,401819.5625,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,495000.0,high,401819.59375,low
3,71,2,7,594000.0,high,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,382500.0,low,401819.59375,low
3,71,2,7,362250.0,low,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,660000.0,high,401819.59375,low
3,71,2,7,550000.0,high,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,660000.0,high,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.5625,low
3,71,2,7,425000.0,medium,401819.5625,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,594000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,405000.0,low,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,468000.0,medium,401819.59375,low
3,71,2,7,537100.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,405000.0,low,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,405000.0,low,401819.59375,low
3,71,2,7,394999.0,low,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,384500.0,low,401819.5625,low
3,71,2,7,475000.0,medium,401819.5625,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,360000.0,low,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,472500.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,405000.0,low,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,550000.0,high,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,425000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,500000.0,high,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,487071.0,high,401819.59375,low
3,71,2,7,427500.0,medium,401819.5625,low
3,71,2,7,475000.0,medium,401819.5625,low
3,71,2,7,402500.0,low,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,400000.0,low,401819.59375,low
3,71,2,7,475000.0,medium,401819.59375,low
3,71,2,7,450000.0,medium,401819.59375,low
3,71,2,7,427500.0,medium,401819.59375,low
3,71,2,7,362300.0,low,401819.59375,low
